# x_0,  x_1,  x_2,  x_3,  x_4,  x_5,  x_6,  x_7,    y
    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    1,    1
    0,    0,    0,    0,    0,    0,    1,    0,    0
    0,    0,    0,    0,    0,    0,    1,    1,    0
    0,    0,    0,    0,    0,    1,    0,    0,    0
    0,    0,    0,    0,    0,    1,    0,    1,    1
    0,    0,    0,    0,    0,    1,    1,    0,    0
    0,    0,    0,    0,    0,    1,    1,    1,    0
    0,    0,    0,    0,    1,    0,    0,    0,    0
    0,    0,    0,    0,    1,    0,    0,    1,    1
    0,    0,    0,    0,    1,    0,    1,    0,    0
    0,    0,    0,    0,    1,    0,    1,    1,    0
    0,    0,    0,    0,    1,    1,    0,    0,    0
    0,    0,    0,    0,    1,    1,    0,    1,    1
    0,    0,    0,    0,    1,    1,    1,    0,    0
    0,    0,    0,    0,    1,    1,    1,    1,    0
    0,    0,    0,    1,    0,    0,    0,    0,    0
    0,    0,    0,    1,    0,    0,    0,    1,    1
    0,    0,    0,    1,    0,    0,    1,    0,    0
    0,    0,    0,    1,    0,    0,    1,    1,    0
    0,    0,    0,    1,    0,    1,    0,    0,    0
    0,    0,    0,    1,    0,    1,    0,    1,    0
    0,    0,    0,    1,    0,    1,    1,    0,    0
    0,    0,    0,    1,    0,    1,    1,    1,    0
    0,    0,    0,    1,    1,    0,    0,    0,    0
    0,    0,    0,    1,    1,    0,    0,    1,    1
    0,    0,    0,    1,    1,    0,    1,    0,    0
    0,    0,    0,    1,    1,    0,    1,    1,    0
    0,    0,    0,    1,    1,    1,    0,    0,    0
    0,    0,    0,    1,    1,    1,    0,    1,    1
    0,    0,    0,    1,    1,    1,    1,    0,    0
    0,    0,    0,    1,    1,    1,    1,    1,    0
    0,    0,    1,    0,    0,    0,    0,    0,    0
    0,    0,    1,    0,    0,    0,    0,    1,    1
    0,    0,    1,    0,    0,    0,    1,    0,    0
    0,    0,    1,    0,    0,    0,    1,    1,    0
    0,    0,    1,    0,    0,    1,    0,    0,    0
    0,    0,    1,    0,    0,    1,    0,    1,    0
    0,    0,    1,    0,    0,    1,    1,    0,    0
    0,    0,    1,    0,    0,    1,    1,    1,    0
    0,    0,    1,    0,    1,    0,    0,    0,    0
    0,    0,    1,    0,    1,    0,    0,    1,    1
    0,    0,    1,    0,    1,    0,    1,    0,    0
    0,    0,    1,    0,    1,    0,    1,    1,    0
    0,    0,    1,    0,    1,    1,    0,    0,    0
    0,    0,    1,    0,    1,    1,    0,    1,    1
    0,    0,    1,    0,    1,    1,    1,    0,    0
    0,    0,    1,    0,    1,    1,    1,    1,    0
    0,    0,    1,    1,    0,    0,    0,    0,    0
    0,    0,    1,    1,    0,    0,    0,    1,    1
    0,    0,    1,    1,    0,    0,    1,    0,    0
    0,    0,    1,    1,    0,    0,    1,    1,    0
    0,    0,    1,    1,    0,    1,    0,    0,    0
    0,    0,    1,    1,    0,    1,    0,    1,    0
    0,    0,    1,    1,    0,    1,    1,    0,    0
    0,    0,    1,    1,    0,    1,    1,    1,    0
    0,    0,    1,    1,    1,    0,    0,    0,    0
    0,    0,    1,    1,    1,    0,    0,    1,    1
    0,    0,    1,    1,    1,    0,    1,    0,    0
    0,    0,    1,    1,    1,    0,    1,    1,    0
    0,    0,    1,    1,    1,    1,    0,    0,    0
    0,    0,    1,    1,    1,    1,    0,    1,    1
    0,    0,    1,    1,    1,    1,    1,    0,    0
    0,    0,    1,    1,    1,    1,    1,    1,    0
    0,    1,    0,    0,    0,    0,    0,    0,    0
    0,    1,    0,    0,    0,    0,    0,    1,    1
    0,    1,    0,    0,    0,    0,    1,    0,    0
    0,    1,    0,    0,    0,    0,    1,    1,    0
    0,    1,    0,    0,    0,    1,    0,    0,    0
    0,    1,    0,    0,    0,    1,    0,    1,    1
    0,    1,    0,    0,    0,    1,    1,    0,    0
    0,    1,    0,    0,    0,    1,    1,    1,    0
    0,    1,    0,    0,    1,    0,    0,    0,    0
    0,    1,    0,    0,    1,    0,    0,    1,    1
    0,    1,    0,    0,    1,    0,    1,    0,    0
    0,    1,    0,    0,    1,    0,    1,    1,    0
    0,    1,    0,    0,    1,    1,    0,    0,    0
    0,    1,    0,    0,    1,    1,    0,    1,    1
    0,    1,    0,    0,    1,    1,    1,    0,    0
    0,    1,    0,    0,    1,    1,    1,    1,    0
    0,    1,    0,    1,    0,    0,    0,    0,    0
    0,    1,    0,    1,    0,    0,    0,    1,    1
    0,    1,    0,    1,    0,    0,    1,    0,    0
    0,    1,    0,    1,    0,    0,    1,    1,    0
    0,    1,    0,    1,    0,    1,    0,    0,    0
    0,    1,    0,    1,    0,    1,    0,    1,    0
    0,    1,    0,    1,    0,    1,    1,    0,    0
    0,    1,    0,    1,    0,    1,    1,    1,    0
    0,    1,    0,    1,    1,    0,    0,    0,    0
    0,    1,    0,    1,    1,    0,    0,    1,    1
    0,    1,    0,    1,    1,    0,    1,    0,    0
    0,    1,    0,    1,    1,    0,    1,    1,    0
    0,    1,    0,    1,    1,    1,    0,    0,    0
    0,    1,    0,    1,    1,    1,    0,    1,    1
    0,    1,    0,    1,    1,    1,    1,    0,    0
    0,    1,    0,    1,    1,    1,    1,    1,    0
    0,    1,    1,    0,    0,    0,    0,    0,    0
    0,    1,    1,    0,    0,    0,    0,    1,    1
    0,    1,    1,    0,    0,    0,    1,    0,    0
    0,    1,    1,    0,    0,    0,    1,    1,    0
    0,    1,    1,    0,    0,    1,    0,    0,    0
    0,    1,    1,    0,    0,    1,    0,    1,    1
    0,    1,    1,    0,    0,    1,    1,    0,    0
    0,    1,    1,    0,    0,    1,    1,    1,    0
    0,    1,    1,    0,    1,    0,    0,    0,    0
    0,    1,    1,    0,    1,    0,    0,    1,    1
    0,    1,    1,    0,    1,    0,    1,    0,    0
    0,    1,    1,    0,    1,    0,    1,    1,    0
    0,    1,    1,    0,    1,    1,    0,    0,    0
    0,    1,    1,    0,    1,    1,    0,    1,    1
    0,    1,    1,    0,    1,    1,    1,    0,    0
    0,    1,    1,    0,    1,    1,    1,    1,    0
    0,    1,    1,    1,    0,    0,    0,    0,    0
    0,    1,    1,    1,    0,    0,    0,    1,    1
    0,    1,    1,    1,    0,    0,    1,    0,    0
    0,    1,    1,    1,    0,    0,    1,    1,    0
    0,    1,    1,    1,    0,    1,    0,    0,    0
    0,    1,    1,    1,    0,    1,    0,    1,    0
    0,    1,    1,    1,    0,    1,    1,    0,    0
    0,    1,    1,    1,    0,    1,    1,    1,    0
    0,    1,    1,    1,    1,    0,    0,    0,    0
    0,    1,    1,    1,    1,    0,    0,    1,    1
    0,    1,    1,    1,    1,    0,    1,    0,    0
    0,    1,    1,    1,    1,    0,    1,    1,    0
    0,    1,    1,    1,    1,    1,    0,    0,    0
    0,    1,    1,    1,    1,    1,    0,    1,    1
    0,    1,    1,    1,    1,    1,    1,    0,    0
    0,    1,    1,    1,    1,    1,    1,    1,    0
    1,    0,    0,    0,    0,    0,    0,    0,    0
    1,    0,    0,    0,    0,    0,    0,    1,    1
    1,    0,    0,    0,    0,    0,    1,    0,    0
    1,    0,    0,    0,    0,    0,    1,    1,    0
    1,    0,    0,    0,    0,    1,    0,    0,    0
    1,    0,    0,    0,    0,    1,    0,    1,    1
    1,    0,    0,    0,    0,    1,    1,    0,    0
    1,    0,    0,    0,    0,    1,    1,    1,    0
    1,    0,    0,    0,    1,    0,    0,    0,    0
    1,    0,    0,    0,    1,    0,    0,    1,    1
    1,    0,    0,    0,    1,    0,    1,    0,    0
    1,    0,    0,    0,    1,    0,    1,    1,    0
    1,    0,    0,    0,    1,    1,    0,    0,    0
    1,    0,    0,    0,    1,    1,    0,    1,    1
    1,    0,    0,    0,    1,    1,    1,    0,    0
    1,    0,    0,    0,    1,    1,    1,    1,    0
    1,    0,    0,    1,    0,    0,    0,    0,    0
    1,    0,    0,    1,    0,    0,    0,    1,    1
    1,    0,    0,    1,    0,    0,    1,    0,    0
    1,    0,    0,    1,    0,    0,    1,    1,    0
    1,    0,    0,    1,    0,    1,    0,    0,    0
    1,    0,    0,    1,    0,    1,    0,    1,    0
    1,    0,    0,    1,    0,    1,    1,    0,    0
    1,    0,    0,    1,    0,    1,    1,    1,    0
    1,    0,    0,    1,    1,    0,    0,    0,    0
    1,    0,    0,    1,    1,    0,    0,    1,    1
    1,    0,    0,    1,    1,    0,    1,    0,    0
    1,    0,    0,    1,    1,    0,    1,    1,    0
    1,    0,    0,    1,    1,    1,    0,    0,    0
    1,    0,    0,    1,    1,    1,    0,    1,    1
    1,    0,    0,    1,    1,    1,    1,    0,    0
    1,    0,    0,    1,    1,    1,    1,    1,    0
    1,    0,    1,    0,    0,    0,    0,    0,    0
    1,    0,    1,    0,    0,    0,    0,    1,    1
    1,    0,    1,    0,    0,    0,    1,    0,    0
    1,    0,    1,    0,    0,    0,    1,    1,    0
    1,    0,    1,    0,    0,    1,    0,    0,    0
    1,    0,    1,    0,    0,    1,    0,    1,    1
    1,    0,    1,    0,    0,    1,    1,    0,    0
    1,    0,    1,    0,    0,    1,    1,    1,    0
    1,    0,    1,    0,    1,    0,    0,    0,    0
    1,    0,    1,    0,    1,    0,    0,    1,    1
    1,    0,    1,    0,    1,    0,    1,    0,    0
    1,    0,    1,    0,    1,    0,    1,    1,    0
    1,    0,    1,    0,    1,    1,    0,    0,    0
    1,    0,    1,    0,    1,    1,    0,    1,    1
    1,    0,    1,    0,    1,    1,    1,    0,    0
    1,    0,    1,    0,    1,    1,    1,    1,    0
    1,    0,    1,    1,    0,    0,    0,    0,    0
    1,    0,    1,    1,    0,    0,    0,    1,    1
    1,    0,    1,    1,    0,    0,    1,    0,    0
    1,    0,    1,    1,    0,    0,    1,    1,    0
    1,    0,    1,    1,    0,    1,    0,    0,    0
    1,    0,    1,    1,    0,    1,    0,    1,    0
    1,    0,    1,    1,    0,    1,    1,    0,    0
    1,    0,    1,    1,    0,    1,    1,    1,    0
    1,    0,    1,    1,    1,    0,    0,    0,    0
    1,    0,    1,    1,    1,    0,    0,    1,    1
    1,    0,    1,    1,    1,    0,    1,    0,    0
    1,    0,    1,    1,    1,    0,    1,    1,    0
    1,    0,    1,    1,    1,    1,    0,    0,    0
    1,    0,    1,    1,    1,    1,    0,    1,    1
    1,    0,    1,    1,    1,    1,    1,    0,    0
    1,    0,    1,    1,    1,    1,    1,    1,    0
    1,    1,    0,    0,    0,    0,    0,    0,    0
    1,    1,    0,    0,    0,    0,    0,    1,    1
    1,    1,    0,    0,    0,    0,    1,    0,    0
    1,    1,    0,    0,    0,    0,    1,    1,    0
    1,    1,    0,    0,    0,    1,    0,    0,    0
    1,    1,    0,    0,    0,    1,    0,    1,    1
    1,    1,    0,    0,    0,    1,    1,    0,    0
    1,    1,    0,    0,    0,    1,    1,    1,    0
    1,    1,    0,    0,    1,    0,    0,    0,    0
    1,    1,    0,    0,    1,    0,    0,    1,    1
    1,    1,    0,    0,    1,    0,    1,    0,    0
    1,    1,    0,    0,    1,    0,    1,    1,    0
    1,    1,    0,    0,    1,    1,    0,    0,    0
    1,    1,    0,    0,    1,    1,    0,    1,    1
    1,    1,    0,    0,    1,    1,    1,    0,    0
    1,    1,    0,    0,    1,    1,    1,    1,    0
    1,    1,    0,    1,    0,    0,    0,    0,    0
    1,    1,    0,    1,    0,    0,    0,    1,    1
    1,    1,    0,    1,    0,    0,    1,    0,    0
    1,    1,    0,    1,    0,    0,    1,    1,    0
    1,    1,    0,    1,    0,    1,    0,    0,    0
    1,    1,    0,    1,    0,    1,    0,    1,    0
    1,    1,    0,    1,    0,    1,    1,    0,    0
    1,    1,    0,    1,    0,    1,    1,    1,    0
    1,    1,    0,    1,    1,    0,    0,    0,    0
    1,    1,    0,    1,    1,    0,    0,    1,    1
    1,    1,    0,    1,    1,    0,    1,    0,    0
    1,    1,    0,    1,    1,    0,    1,    1,    0
    1,    1,    0,    1,    1,    1,    0,    0,    0
    1,    1,    0,    1,    1,    1,    0,    1,    1
    1,    1,    0,    1,    1,    1,    1,    0,    0
    1,    1,    0,    1,    1,    1,    1,    1,    0
    1,    1,    1,    0,    0,    0,    0,    0,    0
    1,    1,    1,    0,    0,    0,    0,    1,    1
    1,    1,    1,    0,    0,    0,    1,    0,    0
    1,    1,    1,    0,    0,    0,    1,    1,    0
    1,    1,    1,    0,    0,    1,    0,    0,    0
    1,    1,    1,    0,    0,    1,    0,    1,    1
    1,    1,    1,    0,    0,    1,    1,    0,    0
    1,    1,    1,    0,    0,    1,    1,    1,    0
    1,    1,    1,    0,    1,    0,    0,    0,    0
    1,    1,    1,    0,    1,    0,    0,    1,    1
    1,    1,    1,    0,    1,    0,    1,    0,    0
    1,    1,    1,    0,    1,    0,    1,    1,    0
    1,    1,    1,    0,    1,    1,    0,    0,    0
    1,    1,    1,    0,    1,    1,    0,    1,    1
    1,    1,    1,    0,    1,    1,    1,    0,    0
    1,    1,    1,    0,    1,    1,    1,    1,    0
    1,    1,    1,    1,    0,    0,    0,    0,    0
    1,    1,    1,    1,    0,    0,    0,    1,    1
    1,    1,    1,    1,    0,    0,    1,    0,    0
    1,    1,    1,    1,    0,    0,    1,    1,    0
    1,    1,    1,    1,    0,    1,    0,    0,    0
    1,    1,    1,    1,    0,    1,    0,    1,    0
    1,    1,    1,    1,    0,    1,    1,    0,    0
    1,    1,    1,    1,    0,    1,    1,    1,    0
    1,    1,    1,    1,    1,    0,    0,    0,    0
    1,    1,    1,    1,    1,    0,    0,    1,    1
    1,    1,    1,    1,    1,    0,    1,    0,    0
    1,    1,    1,    1,    1,    0,    1,    1,    0
    1,    1,    1,    1,    1,    1,    0,    0,    0
    1,    1,    1,    1,    1,    1,    0,    1,    1
    1,    1,    1,    1,    1,    1,    1,    0,    0
    1,    1,    1,    1,    1,    1,    1,    1,    0
# and(x_7, nor(x_6, and(x_5, nor(x_4, nor(x_3, and(x_2, nor(x_0, x_1))))))),-
